,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Price,Close,High,Low,Open,Volume,MA50d,Signal,Return,Strategy
59,59,59,59,59,2023-03-29,158.4741668701172,158.75016719414856,157.074446643704,157.09415020907082,51305700,148.1062274169922,1,0.01979073487290628,0.01979073487290628
60,60,60,60,60,2023-03-30,160.04147338867188,160.14990317241256,158.96704237580855,159.22332411879057,49501700,148.645537109375,1,0.009889981121271596,0.009889981121271596
61,61,61,61,61,2023-03-31,162.54519653320312,162.64377453412575,159.597903820846,160.12033413577524,68749800,149.233740234375,1,0.01564421453713294,0.01564421453713294
62,62,62,62,62,2023-04-03,163.7970428466797,163.91532439911353,161.87489241518372,161.92418140899423,56976200,149.79580139160157,1,0.0077015275761831425,0.0077015275761831425
63,63,63,63,63,2023-04-04,163.2647705078125,164.45748300799937,162.75219201536794,164.22091988909426,46278300,150.28343963623047,1,-0.00324958454448665,-0.00324958454448665
64,64,64,64,64,2023-04-05,161.42147827148438,162.69306530915642,159.48947577581393,162.38749456021097,51511700,150.706259765625,1,-0.011290201986594028,-0.011290201986594028
65,65,65,65,65,2023-04-06,162.3086395263672,162.60435849941234,159.6866210280676,160.11047335808198,45390100,151.16001220703126,1,0.005495930680245342,0.005495930680245342
66,66,66,66,66,2023-04-10,159.71617126464844,159.71617126464844,157.7940207437735,159.11488161033475,47716900,151.5205776977539,1,-0.01597246005686348,-0.01597246005686348
67,67,67,67,67,2023-04-11,158.5037384033203,160.04145880285023,158.21787125365222,160.03160702009572,47644200,151.81811645507813,1,-0.007591171587247314,-0.007591171587247314
68,68,68,68,68,2023-04-12,157.81375122070312,159.74575366976245,157.49831365463328,158.9177526201656,50133100,152.15953033447266,1,-0.0043531287625625525,-0.0043531287625625525
69,69,69,69,69,2023-04-13,163.19577026367188,163.43234843413578,159.11489082873655,159.3218986080038,68445600,152.58319213867188,1,0.034103612653132886,0.034103612653132886
70,70,70,70,70,2023-04-14,162.85076904296875,163.94491858408577,161.48061917083933,162.23961256067847,49386500,152.9775146484375,1,-0.00211403285848466,-0.00211403285848466
71,71,71,71,71,2023-04-17,162.87046813964844,163.02818690758198,161.68760746192598,162.73246797792896,41516200,153.26613220214844,1,0.0001209640998041106,0.0001209640998041106
72,72,72,72,72,2023-04-18,164.09278869628906,165.01936778477705,163.28449117964493,163.72807715584273,49923000,153.5067575073242,1,0.007504863039950127,0.007504863039950127
73,73,73,73,73,2023-04-19,165.23622131347656,165.75865162452376,163.1760554202755,163.43235220441335,47720200,153.82477661132813,1,0.006968207599322485,0.006968207599322485
74,74,74,74,74,2023-04-20,164.27015686035156,165.472735913665,163.19572616151984,163.71815631933293,52456400,154.0659963989258,1,-0.005846565876692633,-0.005846565876692633
75,75,75,75,75,2023-04-21,162.66348266601562,164.07305473489896,162.14105238473394,162.69305305620966,58337300,154.32882141113282,1,-0.00978068217041883,-0.00978068217041883
76,76,76,76,76,2023-04-24,162.96905517578125,163.23520373133107,161.54961626736943,162.643765839196,41949600,154.61842651367186,1,0.0018785562976850745,0.0018785562976850745
77,77,77,77,77,2023-04-25,161.43133544921875,163.93505711689548,161.3918982344198,162.83105575677226,48714100,154.8699822998047,1,-0.009435654670169713,-0.009435654670169713
78,78,78,78,78,2023-04-26,161.42147827148438,162.91977666468185,160.47519563222698,160.73147738017352,45498800,155.0653518676758,1,-6.106111745252107e-05,-6.106111745252107e-05
79,79,79,79,79,2023-04-27,166.0050811767578,166.15293313578908,162.8310621018307,162.8310621018307,64902300,155.3652081298828,1,0.028395247982827776,0.028395247982827776
80,80,80,80,80,2023-04-28,167.2569122314453,167.42449781718415,165.48262879614657,166.08391841749662,55275900,155.64810943603516,1,0.007540920108069393,0.007540920108069393
81,81,81,81,81,2023-05-01,167.168212890625,168.01593249804148,166.2317821133474,166.86264216717663,52472900,155.96117401123047,1,-0.0005303179380566903,-0.0005303179380566903
82,82,82,82,82,2023-05-02,166.13319396972656,167.91735928630777,165.14747425578494,167.6610625345139,48425700,156.27640655517578,1,-0.006191481639967189,-0.006191481639967189
83,83,83,83,83,2023-05-03,165.05877685546875,168.4792257513459,164.77292473257992,167.07950544573387,65136000,156.65038848876952,1,-0.006467203143362132,-0.006467203143362132
84,84,84,84,84,2023-05-04,163.42245483398438,164.65460440159984,161.96359395737636,162.53531316165655,81235400,156.9831671142578,1,-0.009913571714621372,-0.009913571714621372
85,85,85,85,85,2023-05-05,171.0913848876953,171.8109560965244,168.32149974515366,168.5383592942621,113453200,157.45966400146483,1,0.04692702763216694,0.04692702763216694
