,Strategy
503,1.4019500841562247
504,1.4113978877820772
505,1.395325237870307
506,1.3981480184439723
507,1.36444726382314
508,1.36444726382314
509,1.36444726382314
510,1.36444726382314
511,1.36444726382314
512,1.36444726382314
513,1.36444726382314
514,1.36444726382314
515,1.36444726382314
516,1.36444726382314
517,1.36444726382314
518,1.36444726382314
519,1.36444726382314
520,1.36444726382314
521,1.36444726382314
522,1.36444726382314
523,1.36444726382314
524,1.36444726382314
525,1.36444726382314
526,1.36444726382314
527,1.36444726382314
528,1.36444726382314
529,1.36444726382314
530,1.36444726382314
531,1.3817902188986795
532,1.3810557998737805
533,1.3833155041021066
534,1.3887386730445432
535,1.3871568541120989
536,1.3959131755310903
537,1.3955742328831497
538,1.3578376657498274
539,1.3405512444033059
540,1.3405512444033059
541,1.319431961690335
542,1.319431961690335
543,1.319431961690335
544,1.319431961690335
545,1.319431961690335
546,1.2554665349209564
547,1.2554665349209564
548,1.2554665349209564
549,1.2554665349209564
550,1.2554665349209564
551,1.2554665349209564
552,1.2554665349209564
553,1.2554665349209564
554,1.2554665349209564
555,1.2554665349209564
556,1.2554665349209564
557,1.2554665349209564
558,1.2554665349209564
559,1.2554665349209564
560,1.2554665349209564
561,1.2554665349209564
562,1.2554665349209564
563,1.2554665349209564
564,1.2554665349209564
565,1.2554665349209564
566,1.2554665349209564
567,1.2554665349209564
568,1.2554665349209564
569,1.2554665349209564
570,1.2554665349209564
571,1.2554665349209564
572,1.2554665349209564
573,1.2554665349209564
574,1.2554665349209564
575,1.2554665349209564
576,1.2554665349209564
577,1.2554665349209564
578,1.2554665349209564
579,1.2554665349209564
580,1.2554665349209564
581,1.2554665349209564
582,1.2554665349209564
583,1.2554665349209564
584,1.2554665349209564
585,1.2554665349209564
586,1.2554665349209564
587,1.2554665349209564
588,1.2554665349209564
589,1.2554665349209564
590,1.2554665349209564
591,1.268212520871158
592,1.264638853540277
593,1.2593974504795167
594,1.2582659061441794
595,1.243495027394425
596,1.232059528946423
597,1.232059528946423
598,1.232059528946423
599,1.232059528946423
600,1.232059528946423
601,1.232059528946423
602,1.232059528946423
603,1.232059528946423
604,1.232059528946423
605,1.232059528946423
606,1.232059528946423
607,1.232059528946423
608,1.232059528946423
609,1.2171361683285495
610,1.2171361683285495
611,1.2171361683285495
612,1.2171361683285495
613,1.2171361683285495
614,1.2171361683285495
615,1.2171361683285495
616,1.2171361683285495
617,1.2171361683285495
618,1.2171361683285495
619,1.2171361683285495
620,1.2171361683285495
621,1.2171361683285495
622,1.2171361683285495
623,1.2171361683285495
624,1.2328568874934216
625,1.260264275827236
626,1.2668491383504141
627,1.2454926434192277
628,1.245848562302506
629,1.2525520947186546
630,1.2600862255899639
631,1.2526708554072585
632,1.2376026844602748
633,1.2405095066664347
634,1.2467384503063343
635,1.2459080334424413
636,1.2527893437089628
637,1.26050143402191
638,1.2718914738562426
639,1.2704084179788284
640,1.2680948544418875
641,1.268806783004077
642,1.2698152501052427
643,1.2533234036251462
644,1.240153587783156
645,1.231373740820374
646,1.2005850322997844
647,1.2005850322997844
648,1.2005850322997844
649,1.2005850322997844
650,1.2387561196247046
651,1.2912272224536785
652,1.2804617120953308
653,1.2943833660572994
654,1.3151251785380678
655,1.3120252161518098
656,1.3053178509052918
657,1.301372412898232
658,1.2995124871669839
659,1.2738671401210946
660,1.2676107756286816
661,1.2837307351387441
662,1.2803490049905597
663,1.2924670867736663
664,1.2991180123002872
665,1.3107851794967995
666,1.3084178994590616
667,1.294778013259019
668,1.3440959021797567
669,1.3514795100548973
670,1.3509721557484073
671,1.340770439416446
672,1.3208741887239905
673,1.2782634927147483
674,1.2965252318854965
675,1.3192961169221802
676,1.3341195138898247
677,1.3422922438333822
678,1.3470268039088586
679,1.340770439416446
680,1.3837192567399998
681,1.4433515690974692
682,1.4340516819386948
683,1.4221026608127445
684,1.4478042752435079
685,1.4398571318445141
686,1.4340516819386948
687,1.4351790114889345
688,1.4398007782921287
689,1.4492698122755703
690,1.4542861401129732
691,1.4467899113005729
692,1.445606228197948
693,1.454511554322514
694,1.4318534625581123
695,1.3824229527001157
696,1.3958937782430025
697,1.3965137534867518
698,1.4053627260589325
699,1.3947100951403775
700,1.4219898675404623
701,1.4780714752601027
702,1.4810587305415903
703,1.4567098598706076
704,1.463078672965257
705,1.4813404983035168
706,1.515102135573067
707,1.51617302540341
708,1.52011846341047
709,1.529700118331171
710,1.5238948407603743
711,1.5164547931653367
712,1.5220348288616148
713,1.52259853672049
714,1.5205129382771665
715,1.5131857701219225
716,1.5200688309239654
717,1.5529039951120986
718,1.5428616886760285
719,1.5399280295865647
720,1.5368813187222854
721,1.508954428312394
722,1.5088417212076233
723,1.5151603848107005
724,1.5021278933977587
725,1.531690760177049
726,1.5566841638324995
727,1.5626080078988347
728,1.5658801329726553
729,1.5732145391988483
730,1.5971922002311831
731,1.6146252664458316
732,1.6031160442975183
733,1.5836518375066835
734,1.5728195473270836
735,1.5677983941090485
736,1.563792638844084
737,1.5728195473270836
738,1.5685882055175553
739,1.5699987676774132
740,1.5464722797342059
741,1.549293231718899
742,1.53366554720085
743,1.5356401618896287
744,1.543990138403915
745,1.528757101087586
746,1.5365992062903144
747,1.5447797774773995
748,1.5424666968042642
749,1.5444978373804505
750,1.5406613151076645
751,1.5337782543056213
752,1.5337782543056213
753,1.5337782543056213
754,1.5337782543056213
755,1.5337782543056213
756,1.5337782543056213
757,1.5337782543056213
758,1.5337782543056213
759,1.5337782543056213
760,1.5337782543056213
761,1.5337782543056213
762,1.5337782543056213
763,1.5337782543056213
764,1.5337782543056213
765,1.5337782543056213
766,1.5337782543056213
767,1.5337782543056213
768,1.5337782543056213
769,1.5337782543056213
770,1.5337782543056213
771,1.5337782543056213
772,1.5337782543056213
773,1.5307675821662192
774,1.5705873693788928
775,1.5672928254384382
776,1.579846517941095
777,1.561424695585263
778,1.5560800628126354
779,1.5664281963524693
780,1.4881352778244137
781,1.4881352778244137
782,1.4881352778244137
783,1.4881352778244137
784,1.4881352778244137
785,1.4881352778244137
786,1.4881352778244137
787,1.5214560351997495
788,1.5331405996543261
789,1.5259844970491088
790,1.4769538568403275
791,1.4769538568403275
792,1.4769538568403275
793,1.4769538568403275
794,1.4769538568403275
795,1.4769538568403275
796,1.4769538568403275
797,1.4769538568403275
798,1.4769538568403275
799,1.4769538568403275
800,1.4769538568403275
801,1.4769538568403275
802,1.4769538568403275
803,1.4769538568403275
804,1.4769538568403275
805,1.4769538568403275
806,1.4769538568403275
807,1.4769538568403275
808,1.4769538568403275
809,1.4769538568403275
810,1.4769538568403275
